user,n_decisions,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
130,74,0.7251603039492339,0.6876515067669114,0.04050863118128124,0.925945806819931,0.8184072637094516
131,75,0.78473988540814,0.8110442676853787,0.04385326837086258,-0.5998271794655142,0.26002959881604737
132,74,0.8130195079169337,0.80185885723015,0.0441781377508968,0.2526283645026904,0.5650573977040918
133,75,0.7780792432205336,0.7439406989196333,0.04174752756047801,0.8177381103933656,0.7902483900643974
134,75,0.8944968454004206,0.8374587027328876,0.04281902698889096,1.3320747031998441,0.936602535898564
135,75,0.763341654405064,0.8352837905080431,0.043242141905449304,-1.6637042693279063,0.062077516899324024
136,75,0.7570350883275219,0.7792801147336559,0.04243077120067267,-0.5242663702935797,0.2799088036478541
137,50,0.7896230299717202,0.8123156870046325,0.053502053911810024,-0.4241455303812771,0.3095076196952122
138,75,0.914832848073304,0.85518796565074,0.042907431745115215,1.390082789780451,0.9487620495180192
139,75,0.73599093343451,0.8261677412470412,0.043164191498627595,-2.0891578107144273,0.03199872005119795
140,75,0.6227266142933943,0.7579080917007708,0.043437956992434086,-3.1120588252095303,0.005039798408063677
142,75,0.8871280509926857,0.8099534126953282,0.043361661848987695,1.7797896807121376,0.985440582376705
143,25,0.6449061673683927,0.7628869990882211,0.08090133991191335,-1.4583297612658555,0.09003639854405823
144,70,0.7887365542713941,0.8130772716569918,0.04545396537203564,-0.5355026164685891,0.2719891204351826
146,24,0.8601474398401084,0.8648556623585858,0.07782066794036596,-0.06050092659298775,0.38878444862205513
147,25,0.5287182536520142,0.5735921347076806,0.08081973100023679,-0.5552342293187649,0.27730890764369426
148,75,0.6956730041988074,0.6904827246130045,0.042290875183626626,0.12272811955928364,0.5234590616375345
149,75,0.8320725329415134,0.7807017333176021,0.042871760976129956,1.1982432830905512,0.9043238270469182
150,75,0.7128557238329196,0.7335084483389842,0.041310723409275586,-0.4999361618883534,0.2910283588656454
151,75,0.7086402124639559,0.6944015278694394,0.04068016172193843,0.3500154372994467,0.6126154953801848
152,75,0.6367560508887354,0.596559537402747,0.039229094162260725,1.0246607612127419,0.8474461021559138
153,75,0.46283779983903367,0.6338986029263936,0.03917146218726831,-4.366975178755489,0.000639974401023959
154,74,0.6394559060227818,0.6479129166063115,0.04329880348664399,-0.1953174199406761,0.4027038918443262
155,75,0.8632846891709669,0.8136359640101244,0.042230940538009104,1.175648103696795,0.8937242510299588
156,25,0.772952295349881,0.8522110040437515,0.07716209219779839,-1.027171586932838,0.15119395224191032
157,75,0.9218475663709745,0.8548752797019269,0.04277032959196073,1.5658585591455436,0.9751609935602575
158,50,0.8323847819874572,0.813045008022621,0.053713940407113664,0.36005129801043106,0.6126554937802487
159,24,0.6286039460140789,0.8651575070395192,0.07686505853954642,-3.0775174769916496,0.011919523219071236
160,75,0.8078750950097302,0.7719603301217879,0.04299831655080885,0.8352597908223622,0.7862085516579337
162,75,0.8348717398702203,0.8170732096741419,0.04262724719098642,0.4175388130585638,0.6209751609935602
163,75,0.7016254941662854,0.7287811555459609,0.0416699533074707,-0.6516844686458282,0.234470621175153
164,25,0.7598969666174115,0.8631662178615047,0.07598882418232691,-1.3590057795381847,0.10163593456261749
166,75,0.8937886931802922,0.8547352627187348,0.04277823126383346,0.9129276575437759,0.8112075516979321
167,24,0.8115999101173751,0.8434814624538768,0.07868817904125448,-0.40516317348997105,0.2871885124595016
168,50,0.7733824321738522,0.6806372561332714,0.05190926912268243,1.7866785182697658,0.9858005679772809
169,74,0.889128916025411,0.8615025790534564,0.04271371735391216,0.6467790368853086,0.7109715611375546
171,72,0.7578445320435714,0.8109431750688602,0.04403629148609531,-1.2057927957456398,0.11807527698892044
172,75,0.6472781283352413,0.6129534423293492,0.038531168138266306,0.8908291044465734,0.8156473741050358
173,75,0.8671461244298663,0.8476660561715375,0.042922372976830755,0.45384415882234763,0.6489740410383584
174,75,0.8499634047957542,0.822155550834703,0.04415350537873654,0.6297994626366141,0.7228910843566257
175,50,0.5092639075523168,0.5766043976879918,0.04885489649810675,-1.3783775007748633,0.09251629934802608
176,75,0.8324266090515776,0.8457424923976813,0.043649804324642244,-0.30506169620069223,0.34922603095876165
177,75,0.6711214901569601,0.75191191067893,0.04374877719715831,-1.8466897979314871,0.04475820967161313
178,75,0.8054299641910877,0.7870180123092927,0.04394095900440388,0.419015704230527,0.6399744010239591
179,75,0.801214452822124,0.8312391715129318,0.043024178851505376,-0.6978568677495461,0.22415103395864167
180,74,0.7568183481248226,0.6649455109881194,0.04036436140977394,2.276087962943888,0.9978000879964801
181,74,0.8368443548530404,0.8413300542698979,0.043254640488900466,-0.10370446653021134,0.40730370785168596
182,75,0.7633416544050641,0.8147717380366122,0.04299051999885308,-1.1963122016881904,0.11919523219071237
183,25,0.9353759516593391,0.8621252663141613,0.075537678741838,0.9697238062546718,0.8992440302387904
184,25,0.8760848803337898,0.8023919160987957,0.0807671503073632,0.9124125830186173,0.8100075996960122
185,50,0.6786713892795322,0.678391606636828,0.05276991581283782,0.00530193460411328,0.48222071117155313
186,75,0.7629875782949997,0.8212454030137215,0.04357225915374126,-1.3370393422375382,0.09859605615775369
187,75,0.7535277291786865,0.7833455015654437,0.04356740202889078,-0.6844055646692955,0.23423063077476902
188,73,0.6801115609602436,0.6979437496329053,0.04103463829884486,-0.4345642952374618,0.3078276868925243
189,72,0.8442560375488231,0.83104696449424,0.04368734057167726,0.30235470691815447,0.5764169433222671
190,75,0.7875390923368472,0.8518644575644556,0.04325288945999115,-1.4871923247372711,0.0828766849326027
191,75,0.7945538106345178,0.8441466188525062,0.04281538567440628,-1.1582940907065904,0.12787488500459981
192,74,0.8336460249137155,0.8136696289892494,0.04319426269486614,0.46247799309792115,0.6459341626334947
193,75,0.8043677358608952,0.7587804038928296,0.04239618044795527,1.075269788136402,0.8672853085876565
194,25,0.7705580664151616,0.7101947836448412,0.08212997842294903,0.7349725877129102,0.7427302907883685
195,75,0.8355798920903487,0.8311541437746176,0.043496169814476675,0.10175029973002482,0.4969801207951682
196,50,0.8410258120717262,0.8205671262833641,0.0538284669586322,0.3800718642811212,0.5964161433542658
197,75,0.6122045368468884,0.54651115358312,0.036751729322062957,1.7874909419386438,0.9811607535698572
198,25,0.8061327092104908,0.710421588597081,0.08273623851034931,1.1568222381953888,0.8899644014239431
199,25,0.529915368119374,0.8018509863699623,0.07982035028284343,-3.406845713993792,0.005839766409343626
200,75,0.6875960575709441,0.7882952934100822,0.044389537437292424,-2.268535372358688,0.021799128034878604
201,75,0.9113254889244685,0.8333785689535697,0.04324512749586838,1.802443985818885,0.9867205311787528
202,75,0.8492552525756257,0.7960249946097491,0.04217312242810857,1.2621844174952164,0.9147234110635575
203,25,0.8879430945988999,0.8620568229558604,0.0764415308287854,0.33864146050423605,0.5598176072957082
204,75,0.9499064395616568,0.8548717643263096,0.04261361778906472,2.2301480176070485,0.999960001599936
205,25,0.9235177373942292,0.8326910532884265,0.07876219033490463,1.1531762095441809,0.9461621535138595
206,75,0.7419434234019878,0.6859064874645345,0.04124870645214818,1.3585137755158612,0.9252029918803247
207,74,0.7059703243132839,0.7966222212532299,0.04385371594106849,-2.067142886175618,0.03327866885324587
208,75,0.8380250229089913,0.8235275805642038,0.042903787731910316,0.33790588456610243,0.5902563897444102
209,75,0.9078181297756335,0.8336256016780809,0.0429303921238652,1.728205227743742,0.9857605695772169
210,75,0.7191622899104618,0.733765511211183,0.04258146619963728,-0.34294782693146486,0.34410623575057
211,23,0.8281028001690994,0.8537983073197053,0.07880046536532162,-0.3260831903908261,0.29926802927882884
212,75,0.8597773300221316,0.8547146626940813,0.042646861907713274,0.11871136823632812,0.5039798408063677
213,75,0.7195163660205259,0.7321287474942882,0.041953775481216524,-0.30062566072054964,0.3483460661573537
215,75,0.8632846891709668,0.7983014315882839,0.04318083052360474,1.5049098591829968,0.9581616735330587
216,75,0.8183971724562363,0.8413133711667982,0.04280266147623075,-0.5353919106943313,0.2669493220271189
217,74,0.6632807529588886,0.7662246950929562,0.04327321676346663,-2.3789297360712496,0.0187592496300148
218,75,0.73599093343451,0.7418649172274158,0.04292494358117624,-0.13684313368513348,0.41482340706371745
219,25,0.703000124226582,0.7623985093159305,0.0804700354686986,-0.7381428968358461,0.22691092356305748
220,25,0.9235177373942292,0.8523306604284147,0.07778219739060235,0.9152104125874866,0.8699652013919443
221,50,0.49356981853302645,0.7346069167028559,0.05546101054410137,-4.346063943031873,0.0003999840006399744
222,74,0.6984962614140101,0.8137865835079466,0.04328464444776822,-2.66353861894506,0.012479500819967201
223,25,0.8998013088640098,0.8019753932699629,0.08062072966312274,1.213408958252012,0.9474821007159714
224,75,0.6886582859011366,0.7449369241425738,0.04278321259334622,-1.3154374071055577,0.10687572497100116
226,75,0.725468855988004,0.729135363915292,0.041482819550300365,-0.08838617931556213,0.42726290948362067
227,75,0.6304494848111935,0.6271748215442455,0.04086219586298666,0.08013918972754322,0.5128594856205752
228,74,0.8375626235334562,0.8586816554082304,0.04310475288279591,-0.48994671033604836,0.28146874125035
230,75,0.6886582859011368,0.7410493253529488,0.0435128092325599,-1.2040371645921835,0.12163513459461621
231,50,0.7160196086959797,0.8014055630780841,0.05458894902575311,-1.5641619028390226,0.07423703051877925
232,50,0.7360342127574048,0.8201305476623396,0.05470548822601223,-1.5372559067107894,0.07591696332146713
233,75,0.010168001336441723,0.04665567077223612,0.010511624946259502,-3.4711730700378833,0.04167833286668533
234,75,0.6094053299181815,0.656187703628238,0.041128924746088744,-1.13745676549702,0.1297948082076717
235,75,0.8766059735461799,0.8085755026302442,0.04295964402962148,1.5835901915068786,0.96828126874925
236,75,0.7612505996964856,0.8517238222147236,0.04341817903436157,-2.0837636338142302,0.03631854725810967
237,75,0.9085262819957618,0.848254696327683,0.043059400910287905,1.3997311712174443,0.9496420143194272
238,74,0.8823731218065531,0.8348822666243602,0.04299477858316695,1.104572618982769,0.8804447822087117
239,75,0.4866811616607523,0.4475990511947828,0.03539713993258972,1.104103623637317,0.8685252589896404
240,75,0.904310770626798,0.8406520229887954,0.0429216371124336,1.4831388530509209,0.9581216751329947
241,75,0.7914005275957465,0.8373101705447865,0.042825598921408914,-1.0720140314509257,0.1484740610375585
242,75,0.8632846891709668,0.8576627900851719,0.04271524779989451,0.13161340213058056,0.49930002799888007
244,72,0.8504711373678076,0.8264171119146386,0.043853060018477254,0.5485141844841361,0.671733130674773
245,50,0.8691864926253273,0.8559229166285993,0.05345169610256546,0.24814134936480356,0.5488980440782368
246,50,0.9227753098396426,0.8618508709828774,0.05235210122406689,1.1637439077375091,0.9182432702691893
247,75,0.7563269361073935,0.7732361232944831,0.04214693369988662,-0.40119614175241997,0.3095076196952122
248,75,0.7359909334345102,0.821804627585019,0.04346659584006579,-1.974244646768708,0.03835846566137355
249,75,0.7731555796314417,0.7067021641754435,0.04131643718911284,1.608401400920142,0.9648814047438102
250,75,0.7356368573244457,0.7521296502070458,0.04294751621379412,-0.3840220421711567,0.31546738130474783
251,25,0.8405102375384608,0.7617215791942217,0.08129459448439323,0.9691746277098999,0.8324867005319787
252,75,0.928862284668645,0.8577467879294789,0.04278050590078973,1.662334169308018,0.984760609575617
254,75,0.898004204549256,0.8549945937824539,0.04304918242890532,0.9990807801711781,0.8549258029678812
255,75,0.8355798920903488,0.807727059753231,0.04311714497827635,0.645980441217776,0.7265709371625135
