user,n_decisions,H_real,H_shuffle_mean,H_shuffle_std,z_marginal,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window
164,25,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.7598969666174115,0.860479492529888,0.07547190880561926,-1.3327147478345964
166,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.8937886931802922,0.8381745762497229,0.04713617550585799,1.179860613079601
167,24,0.9798687566511528,0.9798687566511526,2.220446049250313e-16,1.0,0.8115999101173751,0.8403040463342648,0.08052329911884896,-0.3564699475927289
168,50,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.7733824321738522,0.7467910772960247,0.05852280025315697,0.45437598274175267
169,74,0.9994730201859836,0.999473020185984,4.440892098500626e-16,-1.0,0.889128916025411,0.8424514402022244,0.046907374931284135,0.995098870733348
171,72,0.972552316568843,0.9725523165688427,3.3306690738754696e-16,1.0,0.7578445320435714,0.8142702128056066,0.04557815646419275,-1.237998311896721
172,75,0.7950402793845223,0.7950402793845224,1.1102230246251565e-16,-1.0,0.6472781283352413,0.6302549702844021,0.042650890846486794,0.3991278426542273
173,75,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.8671461244298663,0.8297982075124838,0.049011046796339997,0.762030590217296
174,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.8499634047957542,0.8407561663042568,0.04970841557104019,0.18522494402057513
175,50,0.7601675029619657,0.7601675029619658,1.1102230246251565e-16,-1.0,0.5092639075523168,0.596910207773455,0.05367915203990454,-1.632781012561132
176,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.8324266090515776,0.8403798633943129,0.04639493046255162,-0.17142507302936677
177,75,0.9531971725430559,0.9531971725430561,2.220446049250313e-16,-1.0,0.6711214901569601,0.7940956560504774,0.047466625503243556,-2.590750123686674
178,75,0.993707106604508,0.9937071066045076,4.440892098500626e-16,1.0,0.8054299641910877,0.8366760720765508,0.04696336273570114,-0.6653294411924658
179,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.801214452822124,0.8190936805092304,0.047762406342300404,-0.37433682798497886
180,74,0.8779620013943912,0.8779620013943908,3.3306690738754696e-16,1.0,0.7568183481248226,0.7150813161358279,0.04480447851780416,0.9315370554398812
181,74,0.9809470132751208,0.9809470132751206,2.220446049250313e-16,1.0,0.8368443548530404,0.8220344478129001,0.045898104469378316,0.32266925206074615
182,75,0.9626147059982517,0.962614705998252,3.3306690738754696e-16,-1.0,0.7633416544050641,0.8037853938255318,0.04515235160429816,-0.8957172325132633
183,25,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.9353759516593391,0.8598950745483126,0.07779636158933378,0.9702365967893185
184,25,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.8760848803337898,0.8017836805051294,0.07725784315035926,0.9617301855561179
185,50,0.8267463724926178,0.826746372492618,1.1102230246251565e-16,-1.0,0.6786713892795322,0.6663027150922819,0.05269906754898955,0.23470385269629787
186,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.7629875782949997,0.8190665502565626,0.04679585031754471,-1.1983748896755857
187,75,0.9531971725430559,0.9531971725430561,2.220446049250313e-16,-1.0,0.7535277291786865,0.7897744960073844,0.04670634899681252,-0.7760565235182809
188,73,0.8989377852081333,0.8989377852081333,0.0,0.0,0.6801115609602436,0.7362143749921924,0.04736779970307714,-1.1844082770073072
189,72,0.972552316568843,0.9725523165688427,3.3306690738754696e-16,1.0,0.8442560375488231,0.8143100354673161,0.048514861560782635,0.6172542004265777
190,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.7875390923368472,0.8426898702840908,0.045682897970347906,-1.2072521752678915
191,75,0.9844268978000114,0.9844268978000114,0.0,0.0,0.7945538106345178,0.8270695488985936,0.04589282910819189,-0.7085145739745158
192,74,0.9568886656798212,0.9568886656798216,3.3306690738754696e-16,-1.0,0.8336460249137155,0.7974831601297064,0.04815507922063336,0.7509667800217038
193,75,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.8043677358608952,0.7409152523341149,0.044718010387146796,1.4189469293790014
194,25,0.8554508105601306,0.8554508105601304,2.220446049250313e-16,1.0,0.7705580664151616,0.7132700383136614,0.08152149330285392,0.7027352637993762
195,75,0.999871756640849,0.9998717566408488,2.220446049250313e-16,1.0,0.8355798920903487,0.8440538989734698,0.04746679403193733,-0.1785249468801191
196,50,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.8410258120717262,0.8465682687115363,0.0570560682994504,-0.09714052869400941
197,75,0.7219280948873623,0.7219280948873621,2.220446049250313e-16,1.0,0.6122045368468884,0.5571895434623718,0.039612577683951725,1.3888263930575973
198,25,0.8554508105601306,0.8554508105601304,2.220446049250313e-16,1.0,0.8061327092104908,0.7096650733666855,0.08330952895777805,1.157942399274589
199,25,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.529915368119374,0.800552933380901,0.08143429177626743,-3.3233857550462487
200,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.6875960575709441,0.8174697197647758,0.04748736655402413,-2.7349097584950424
201,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.9113254889244685,0.8411263964617859,0.04825210978940637,1.4548398561029279
202,75,0.9531971725430559,0.9531971725430561,2.220446049250313e-16,-1.0,0.8492552525756257,0.7915739115697764,0.0464163039665533,1.2426956926043355
203,25,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.8879430945988999,0.8580397722026609,0.08367632767706878,0.3573689623622649
204,75,0.999871756640849,0.9998717566408488,2.220446049250313e-16,1.0,0.9499064395616568,0.8430319747645257,0.04699729726685708,2.2740555523923685
205,25,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.9235177373942292,0.8299325064614612,0.08055937674473446,1.1616925889249121
206,75,0.8554508105601306,0.8554508105601304,2.220446049250313e-16,1.0,0.7419434234019878,0.6918902141037352,0.04445236380002636,1.1259965729476675
207,74,0.9466474387740497,0.94664743877405,3.3306690738754696e-16,-1.0,0.7059703243132839,0.7850317368899329,0.048083903067455795,-1.6442386647717757
208,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.8380250229089913,0.821294317917078,0.04666204964947354,0.3585505805594649
209,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.9078181297756335,0.822732234962245,0.04478863398421879,1.8997206934993451
210,75,0.8892881527272397,0.8892881527272396,1.1102230246251565e-16,1.0,0.7191622899104618,0.7264247548765081,0.0451348107698285,-0.16090606877875957
211,23,0.9876925088958034,0.9876925088958033,1.1102230246251565e-16,1.0,0.8281028001690994,0.8555259817458388,0.07624752276261562,-0.3596599677358313
212,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.8597773300221316,0.8403877065272781,0.04671542062667615,0.4150583091139151
213,75,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.7195163660205259,0.7804080231637956,0.04771274099528731,-1.276213771690126
215,75,0.9531971725430559,0.9531971725430561,2.220446049250313e-16,-1.0,0.8632846891709668,0.7932646123439142,0.04606224789901995,1.5201185356944418
216,75,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.8183971724562363,0.8311864202944347,0.04657054053340837,-0.27462098768262544
217,74,0.9227346209530941,0.9227346209530939,2.220446049250313e-16,1.0,0.6632807529588886,0.7599256880538674,0.04767572572915877,-2.0271308641217014
218,75,0.8892881527272397,0.8892881527272396,1.1102230246251565e-16,1.0,0.73599093343451,0.7272434526665307,0.04648564517189358,0.18817595702142323
219,25,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.703000124226582,0.7570824587004751,0.08402220513879502,-0.6436671637521927
220,25,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.9235177373942292,0.850154104836389,0.08128973279990306,0.902495678493947
221,50,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.49356981853302645,0.8338721838537042,0.05810069462401565,-5.85711354266693
222,74,0.9568886656798212,0.9568886656798216,3.3306690738754696e-16,-1.0,0.6984962614140101,0.7968225288336191,0.04780791023114581,-2.056694529089699
223,25,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.8998013088640098,0.8021831555163326,0.0807913048895806,1.2082754880750382
224,75,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.6886582859011366,0.8102496705710106,0.04990745178397778,-2.436337266750804
226,75,0.8892881527272397,0.8892881527272396,1.1102230246251565e-16,1.0,0.725468855988004,0.7276983337821892,0.04552575909546968,-0.04897178736789036
227,75,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.6304494848111935,0.7818776801622932,0.045722396073769385,-3.311904194757917
228,74,0.9994730201859836,0.999473020185984,4.440892098500626e-16,-1.0,0.8375626235334562,0.8404807879229838,0.047769472454187854,-0.06108847846971968
230,75,0.931055823385033,0.9310558233850331,1.1102230246251565e-16,-1.0,0.6886582859011368,0.7665478415831927,0.046819311562701714,-1.6636202686949821
231,50,0.9953784388202257,0.9953784388202255,2.220446049250313e-16,1.0,0.7160196086959797,0.8426757221932605,0.05608452325399903,-2.258307749602735
232,50,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.7360342127574048,0.8464018515496344,0.05665624489587374,-1.948022481812375
233,75,0.10215803640865039,0.10215803640865033,5.551115123125783e-17,1.0,0.010168001336441723,0.04797263030533204,0.008725993678342932,-4.332415351470828
234,75,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.6094053299181815,0.7811767628203472,0.04622889679804268,-3.7156723348292933
235,75,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.8766059735461799,0.80951956532364,0.047689064043045466,1.4067461706102224
236,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.7612505996964856,0.8393013003531183,0.04756776741223917,-1.640831699756217
237,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.9085262819957618,0.8408828521136286,0.04707301541706917,1.4369895211260466
238,74,0.9867867202680318,0.9867867202680322,3.3306690738754696e-16,-1.0,0.8823731218065531,0.8288842877355561,0.047089192101639116,1.1359046881828994
239,75,0.6652735227649414,0.6652735227649413,1.1102230246251565e-16,1.0,0.4866811616607523,0.500245202082639,0.03813061618209406,-0.3557257075813082
240,75,0.9844268978000114,0.9844268978000114,0.0,0.0,0.904310770626798,0.8249821758098872,0.04747728896351475,1.6708745707420884
241,75,0.9844268978000114,0.9844268978000114,0.0,0.0,0.7914005275957465,0.8275023703783406,0.04759216301234988,-0.7585669677006671
242,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.8632846891709668,0.838666147673021,0.047443755067224,0.5188995150797685
244,72,0.972552316568843,0.9725523165688427,3.3306690738754696e-16,1.0,0.8504711373678076,0.8123858309302298,0.04924484050636144,0.7733867354623261
245,50,0.9953784388202257,0.9953784388202255,2.220446049250313e-16,1.0,0.8691864926253273,0.8425226068645175,0.059244794406245326,0.45006293005211295
246,50,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.9227753098396426,0.8476447058588974,0.056028638729209594,1.34093216763407
