user,H_decision,H_change,p_up,p_change,p_up_mkt_up,p_down_mkt_down,p_repeat_success,p_change_fail,n_decisions,cluster
81,0.9860400318404434,0.9860400318404434,0.5694444444444444,0.4305555555555556,0.5714285714285714,0.4347826086956522,0.6,0.4594594594594595,72,0
82,0.9910760598382222,0.9949848281859701,0.5555555555555556,0.5416666666666666,0.55,0.4375,0.45945945945945943,0.5428571428571428,72,0
83,0.9860400318404434,0.8879763195151349,0.4305555555555556,0.3055555555555556,0.425531914893617,0.56,0.7142857142857143,0.3181818181818182,72,0
84,0.9910760598382222,0.997772472089982,0.5555555555555556,0.4722222222222222,0.8666666666666667,0.962962962962963,0.8974358974358975,0.9090909090909091,72,0
85,0.9949848281859701,0.9182958340544896,0.4583333333333333,0.6666666666666666,0.7,0.7142857142857143,0.5384615384615384,0.9090909090909091,24,0
86,1.0,0.9182958340544896,0.5,0.3333333333333333,0.5789473684210527,0.5882352941176471,0.736842105263158,0.4117647058823529,72,0
87,0.9182958340544896,0.999443333090299,0.6666666666666666,0.4861111111111111,0.8181818181818182,0.46153846153846156,0.6388888888888888,0.6111111111111112,72,0
88,0.9182958340544896,0.964078764808229,0.6666666666666666,0.3888888888888889,0.8392857142857143,0.9375,0.8863636363636364,0.8214285714285714,72,0
89,0.9377342939868041,0.954434002924965,0.6458333333333334,0.625,0.7407407407407407,0.47619047619047616,0.5,0.7727272727272727,48,0
90,0.999443333090299,0.999443333090299,0.5138888888888888,0.4861111111111111,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,72,0
91,0.9949848281859701,0.9315627684809642,0.5416666666666666,0.6527777777777778,0.6578947368421053,0.5882352941176471,0.475,0.8125,72,0
92,0.9986359641585718,0.9557589912150009,0.5217391304347826,0.37681159420289856,0.5128205128205128,0.4666666666666667,0.6176470588235294,0.37142857142857144,69,0
93,0.9182958340544896,0.972552316568843,0.6666666666666666,0.4027777777777778,0.6153846153846154,0.2727272727272727,0.5555555555555556,0.3611111111111111,72,0
94,0.943601631299382,0.997772472089982,0.6388888888888888,0.4722222222222222,0.8409090909090909,0.6785714285714286,0.775,0.78125,72,0
96,0.9798687566511528,0.9949848281859701,0.5833333333333334,0.5416666666666666,0.8125,0.6,0.6666666666666667,0.717948717948718,72,0
97,0.999443333090299,0.999443333090299,0.5138888888888888,0.4861111111111111,0.6097560975609756,0.6129032258064516,0.6285714285714286,0.5945945945945946,72,0
99,0.9798687566511528,0.8325582396745668,0.5833333333333334,0.2638888888888889,0.6595744680851063,0.56,0.8611111111111112,0.3888888888888889,72,1
100,0.954434002924965,0.9182958340544896,0.625,0.3333333333333333,0.8181818181818182,0.5384615384615384,0.9,0.5,24,1
101,1.0,0.8112781244591328,0.5,0.75,0.5454545454545454,0.5384615384615384,0.33333333333333337,0.8888888888888888,24,0
103,0.9949848281859701,0.9798687566511528,0.4583333333333333,0.5833333333333334,0.6666666666666666,0.75,0.6153846153846154,0.8181818181818182,24,0
105,0.8708644692353644,0.9949848281859701,0.7083333333333334,0.5416666666666666,0.6,0.11111111111111116,0.4,0.4444444444444444,24,0
106,0.8112781244591328,0.954434002924965,0.75,0.375,0.875,0.5,0.8461538461538461,0.6363636363636364,24,1
107,0.9182958340544896,0.9949848281859701,0.6666666666666666,0.4583333333333333,0.7692307692307693,0.4545454545454546,0.6666666666666667,0.5833333333333334,24,0
108,0.997772472089982,0.9037762882345832,0.4722222222222222,0.3194444444444444,0.7878787878787878,0.7948717948717949,0.8863636363636364,0.6428571428571429,72,0
110,0.9949848281859701,0.7642045065086203,0.4583333333333333,0.7777777777777778,0.5714285714285714,0.7,0.34285714285714286,0.8918918918918919,72,0
111,0.9798687566511528,0.7382848661434506,0.5833333333333334,0.20833333333333334,0.6041666666666666,0.45833333333333337,0.8571428571428572,0.2702702702702703,72,1
112,0.943601631299382,0.9798687566511528,0.6388888888888888,0.4166666666666667,0.7777777777777778,0.5925925925925926,0.8,0.6216216216216216,72,0
113,1.0,0.9949848281859701,0.5,0.4583333333333333,0.6285714285714286,0.6216216216216216,0.65,0.59375,72,0
114,0.8453509366224364,0.9760206482366149,0.7272727272727273,0.4090909090909091,0.8571428571428571,0.5,0.7692307692307692,0.6666666666666666,22,1
115,0.9883779727795041,0.9229192878686721,0.5633802816901409,0.3380281690140845,0.6578947368421053,0.5454545454545454,0.7714285714285715,0.4444444444444444,71,0
116,0.9826154285526119,0.9477073729342065,0.5774647887323944,0.36619718309859156,0.7619047619047619,0.6896551724137931,0.7708333333333334,0.6521739130434783,71,0
117,0.964078764808229,0.9860400318404434,0.6111111111111112,0.4305555555555556,0.9333333333333333,0.9259259259259259,0.9736842105263158,0.8823529411764706,72,0
118,0.8325582396745668,0.9315627684809642,0.7361111111111112,0.3472222222222222,0.8695652173913043,0.5,0.85,0.59375,72,1
119,0.9132401614300725,0.8171387756817723,0.6716417910447762,0.2537313432835821,0.9428571428571428,0.625,0.9285714285714286,0.56,67,1
120,0.8930108100446013,0.9756797868933085,0.6901408450704225,0.4084507042253521,0.875,0.6956521739130435,0.8536585365853658,0.7666666666666667,71,0
122,0.9826154285526119,0.9359407149555171,0.5774647887323944,0.352112676056338,0.6341463414634146,0.5,0.6904761904761905,0.41379310344827586,71,0
123,0.9037762882345832,1.0,0.6805555555555556,0.5,0.8571428571428571,0.5666666666666667,0.6976744186046512,0.7931034482758621,72,0
124,0.9315627684809642,1.0,0.6527777777777778,0.5,0.8611111111111112,0.5555555555555556,0.6829268292682926,0.7419354838709677,72,0
125,0.972552316568843,0.964078764808229,0.4027777777777778,0.3888888888888889,0.40540540540540543,0.6,0.6052631578947368,0.38235294117647056,72,0
126,0.943601631299382,0.9860400318404434,0.6388888888888888,0.4305555555555556,0.75,0.44999999999999996,0.6666666666666667,0.5128205128205128,72,0
127,0.999443333090299,0.943601631299382,0.4861111111111111,0.3611111111111111,0.6363636363636364,0.641025641025641,0.7777777777777778,0.5,72,0
128,0.8879763195151349,0.9949848281859701,0.6944444444444444,0.5416666666666666,0.6388888888888888,0.25,0.41463414634146345,0.4838709677419355,72,0
129,0.943601631299382,0.9315627684809642,0.6388888888888888,0.3472222222222222,0.9024390243902439,0.7096774193548387,0.9473684210526316,0.6764705882352942,72,0
130,0.9229192878686721,0.9883779727795041,0.6619718309859155,0.43661971830985913,0.7560975609756098,0.4666666666666667,0.6666666666666667,0.5862068965517241,71,0
131,0.997772472089982,0.972552316568843,0.5277777777777778,0.4027777777777778,0.6222222222222222,0.6296296296296297,0.7,0.53125,72,0
132,0.9582407282588408,0.9929768866085174,0.6197183098591549,0.4507042253521127,0.8048780487804879,0.6333333333333333,0.7941176470588236,0.6756756756756757,71,0
133,0.954434002924965,1.0,0.625,0.5,0.717948717948718,0.48484848484848486,0.6052631578947368,0.6176470588235294,72,0
134,0.964078764808229,1.0,0.6111111111111112,0.5,0.8157894736842105,0.6176470588235294,0.6818181818181819,0.7857142857142857,72,0
135,0.9949848281859701,0.943601631299382,0.5416666666666666,0.3611111111111111,0.8378378378378378,0.7714285714285715,0.8478260869565217,0.7307692307692307,72,0
136,0.943601631299382,0.943601631299382,0.6388888888888888,0.3611111111111111,0.9090909090909091,0.7857142857142857,0.9090909090909091,0.7857142857142857,72,0
137,0.954434002924965,0.9798687566511528,0.625,0.4166666666666667,0.7142857142857143,0.5,0.6923076923076923,0.5454545454545454,48,0
138,1.0,0.9949848281859701,0.5,0.5416666666666666,0.675,0.71875,0.6571428571428571,0.7297297297297297,72,0
139,0.9910760598382222,0.9860400318404434,0.5555555555555556,0.4305555555555556,0.6744186046511628,0.6206896551724138,0.7105263157894737,0.5882352941176471,72,0
140,0.9037762882345832,0.943601631299382,0.6805555555555556,0.3611111111111111,0.5333333333333333,0.07407407407407407,0.5,0.16666666666666666,72,1
142,0.9798687566511528,0.997772472089982,0.5833333333333334,0.4722222222222222,0.43902439024390244,0.22580645161290325,0.3548387096774194,0.34146341463414637,72,0
143,0.8708644692353644,0.8708644692353644,0.7083333333333334,0.2916666666666667,0.8571428571428571,0.5,0.9166666666666666,0.5,24,1
144,0.9726699911457106,0.9804679314541813,0.5970149253731343,0.417910447761194,0.391304347826087,0.2954545454545454,0.3846153846153846,0.2926829268292683,67,0
146,0.9986359641585718,0.9656361333706098,0.4782608695652174,0.6086956521739131,0.7777777777777778,0.7142857142857143,0.6153846153846154,0.9,23,0
147,0.7382848661434506,0.9182958340544896,0.7916666666666666,0.3333333333333333,0.75,0.16666666666666663,0.6363636363636364,0.3076923076923077,24,1
148,0.8325582396745668,0.964078764808229,0.7361111111111112,0.3888888888888889,0.8297872340425532,0.43999999999999995,0.775,0.59375,72,1
149,0.943601631299382,0.997772472089982,0.6388888888888888,0.5277777777777778,0.6875,0.45833333333333337,0.575,0.65625,72,0
150,0.9037762882345832,0.943601631299382,0.6805555555555556,0.3611111111111111,0.7804878048780488,0.4516129032258065,0.7777777777777778,0.5,72,1
151,0.8879763195151349,0.9910760598382222,0.6944444444444444,0.4444444444444444,0.9347826086956522,0.7307692307692308,0.875,0.84375,72,0
152,0.7885131605379785,0.943601631299382,0.7638888888888888,0.3611111111111111,0.8636363636363636,0.3928571428571429,0.8108108108108107,0.5428571428571428,72,1
153,0.8112781244591328,0.710676853856123,0.75,0.19444444444444445,0.675,0.15625,0.75,0.1388888888888889,72,1
154,0.8930108100446013,0.8760643678555242,0.6901408450704225,0.29577464788732394,0.8085106382978723,0.5416666666666667,0.8260869565217391,0.52,71,1
155,0.954434002924965,0.999443333090299,0.625,0.4861111111111111,0.6041666666666666,0.33333333333333337,0.5263157894736843,0.5,72,0
156,0.9798687566511528,0.9182958340544896,0.4166666666666667,0.3333333333333333,0.8,0.8571428571428572,0.875,0.75,24,0
157,0.999443333090299,0.972552316568843,0.4861111111111111,0.5972222222222222,0.48717948717948717,0.5151515151515151,0.4054054054054054,0.6,72,0
158,0.9684610087601622,0.9798687566511528,0.6041666666666666,0.5833333333333334,1.0,0.8260869565217391,0.8636363636363636,0.9615384615384616,48,0
159,0.9986359641585718,0.9876925088958034,0.5217391304347826,0.43478260869565216,0.6363636363636364,0.5833333333333333,0.6666666666666667,0.5454545454545454,23,0
160,0.964078764808229,0.9910760598382222,0.6111111111111112,0.5555555555555556,0.5581395348837209,0.31034482758620685,0.43137254901960786,0.5238095238095238,72,0
162,0.9798687566511528,0.9949848281859701,0.5833333333333334,0.5416666666666666,0.5428571428571428,0.3783783783783784,0.4347826086956522,0.5,72,0
