User_ID,phenotype_kmeans,phi_star,n,match_rate_real,match_rate_shuffled,match_rate_delta,H_Dphi_real,H_Dphi_shuffled,H_Dphi_delta,I_Dphi;g_real,I_Dphi;g_shuffled,I_Dphi;g_delta,I_Dphi;TS_quad_real,I_Dphi;TS_quad_shuffled,I_Dphi;TS_quad_delta
437,Optimist,Optimist,16,0.8125,0.6125000000000002,0.19999999999999984,0.7412964801529259,0.9721035019860634,-0.2308070218331375,0.3067671023269321,0.41435086075742794,-0.10758375843049583,0.3067671023269321,0.3756768427925794,-0.0689097404656473
439,Trustful,Trustful,15,1.0,1.0000000000000002,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,Trustful,Trustful,15,0.6,0.6000000000000003,-3.3306690738754696e-16,1.0190404291509674,1.0190404291509676,-2.220446049250313e-16,0.18380239328871895,0.34031696906719616,-0.15651457577847722,0.0681132270547461,0.06033440986056061,0.0077788171941854875
441,Undefined,Trustful,15,0.6,0.6000000000000003,-3.3306690738754696e-16,1.0190404291509674,1.0190404291509676,-2.220446049250313e-16,-0.004278472748238116,0.1353152217770345,-0.13959369452527262,0.04102176328363294,0.10054154380323409,-0.05951978051960115
442,Envious,Envious,15,0.8,0.5599999999999999,0.2400000000000001,0.7700179295836611,1.0187486235470948,-0.24873069396343372,0.2738382601910635,0.07480877620825173,0.19902948398281178,0.262154964738045,0.07410571190545884,0.18804925283258617
443,Envious,Envious,15,1.0,0.6,0.4,0.0,0.997346666153661,-0.997346666153661,0.0,0.24967231974149387,-0.24967231974149387,0.0,0.15566315694013352,-0.15566315694013352
444,Trustful,Trustful,15,0.9333333333333333,0.9333333333333331,2.220446049250313e-16,0.40144916971772016,0.4014491697177202,-5.551115123125783e-17,0.13701850183231928,0.141776259374643,-0.004757757542323715,0.13701850183231928,0.13018880929928314,0.006829692533036141
445,Optimist,Optimist,15,0.7333333333333333,0.4266666666666666,0.3066666666666667,0.884730576637466,0.9886781660849705,-0.10394758944750448,0.5129905437896111,0.18000467319103994,0.3329858705985711,0.19823404242664555,0.13675504000518202,0.061479002421463536
446,Undefined,Trustful,15,0.5333333333333333,0.5333333333333333,0.0,1.0448814666779354,1.0448814666779356,-2.220446049250313e-16,-0.022105570691509646,0.13440900508696757,-0.15651457577847722,-0.05478723706971378,0.07076143020631992,-0.1255486672760337
447,Trustful,Trustful,15,0.8666666666666667,0.8666666666666667,0.0,0.6145993412492041,0.6145993412492043,-2.220446049250313e-16,0.1511013382348107,0.20385205641091064,-0.05275071817609994,0.0941178067499212,0.16816283399915996,-0.07404502724923875
448,Optimist,Optimist,15,0.8,0.47333333333333344,0.3266666666666666,0.7700179295836611,1.0228193162453885,-0.25280138666172736,0.5382689280764644,0.25274047809840644,0.285528449978058,0.12286075975836974,0.03499358807340939,0.08786717168496036
449,Envious,Envious,15,0.8666666666666667,0.5666666666666667,0.30000000000000004,0.6145993412492041,0.9931666430133705,-0.3785673017641664,0.1511013382348107,0.15834196250164648,-0.007240624266835777,0.06143614037171696,0.03141162635691043,0.030024514014806533
450,Envious,Envious,15,0.8666666666666667,0.5400000000000001,0.32666666666666655,0.6145993412492041,0.998748048472006,-0.3841487072228019,0.27660847017978724,0.33589187254762576,-0.05928340236783852,0.012177802294386364,0.09187767980897714,-0.07969987751459078
452,Pessimist,Pessimist,15,0.7333333333333333,0.5266666666666667,0.20666666666666655,0.884730576637466,1.0067555929740293,-0.12202501633656326,0.4715584071006372,0.2590071127540121,0.21255129434662506,0.073794405881903,0.07847823844090845,-0.004683832559005452
454,Undefined,Pessimist,15,0.6666666666666666,0.5066666666666666,0.16000000000000003,0.9663856687507884,0.9916717299756551,-0.025286061224866763,0.10512366451766075,0.20640067284225633,-0.10127700832459557,-0.12662533698953604,0.05980239691630366,-0.1864277339058397
455,Pessimist,Pessimist,15,0.7333333333333333,0.5466666666666665,0.18666666666666676,0.884730576637466,0.9904583284752987,-0.10572775183783267,0.073794405881903,0.10148529856141114,-0.02769089267950814,-0.02685726107322617,0.01903619517220024,-0.04589345624542641
456,Trustful,Trustful,15,0.7333333333333333,0.7333333333333332,1.1102230246251565e-16,0.884730576637466,0.8847305766374663,-3.3306690738754696e-16,-0.03127896029928534,0.21781587139253641,-0.24909483169182176,-0.10590665888353523,0.08820244250625923,-0.19410910138979448
457,Optimist,Optimist,15,0.8666666666666667,0.52,0.3466666666666667,0.6145993412492041,1.0021540477883788,-0.3875547065391747,0.08573800547840238,0.19013705599420158,-0.1043990505157992,0.06143614037171696,0.10056069401184939,-0.039124553640132426
