w_R,w_Trustful,w_Optimist,w_Pessimist,w_Envious,log_lik,cross_ent,accuracy,n,User_ID,phenotype_composition
2.0787119185064724e-15,0.0,0.33333286115052124,0.33333476382960897,0.3333323750198677,-3.1259378372263322,0.32212678684954293,0.9285714285714286,14,69,Undefined
0.0,0.8461537871459013,3.6227312375416146e-15,0.07692310642705018,0.07692310642704485,-5.5811992860982045,0.5751406094476359,0.8571428571428571,14,70,Trustful
3.64854941335058e-15,0.0,0.0,0.3333353762992684,0.666664623700728,-3.8190850188252217,0.367318334492832,0.8666666666666667,15,71,Envious
0.4000011599838197,0.4000023160239212,0.19999652399225903,0.0,0.0,-8.369082570526036,0.8049355947525447,0.7333333333333333,15,72,Trustful
0.4000021565103402,0.5999978434896519,0.0,4.0127677656403825e-16,7.650144081584817e-15,-7.506036353127388,0.7219280948926109,0.8,15,73,Trustful
8.318346012001557e-14,4.472533454701137e-13,8.68194405256619e-14,0.0,0.9999999999993827,-1.4999999583271035e-08,1.4426950008081094e-09,1.0,15,74,Envious
0.49999875734001314,0.20454573333234655,0.0,0.2954555093276358,4.536910482851944e-15,-9.82844220172521,0.9452963216061845,0.6,15,75,Undefined
0.3161260341535898,0.2654624359693574,0.08265859625750613,0.335752933619546,5.666168816993904e-16,-8.8491357368657,0.8511069495819633,0.8,15,76,Undefined
2.986499936240997e-14,4.787281682182595e-13,0.0,0.0,0.9999999999994913,-1.4999999583271035e-08,1.4426950008081094e-09,1.0,15,77,Envious
0.0,0.0,2.1094237467877113e-14,1.9706458687095724e-14,0.9999999999999591,-1.4999999583271035e-08,1.4426950008081094e-09,1.0,15,78,Envious
0.0,4.0504644595393975e-15,0.24999977376875285,0.0,0.750000226231243,-2.24934058947578,0.21634083424713105,0.9333333333333333,15,79,Envious
0.14051112957688286,0.19346319313564983,0.3852835963320906,0.28074208095537645,1.6543951064239453e-16,-9.591610695204881,0.9225179456073084,0.6,15,80,Undefined
1.2413722582901082e-08,0.5833337336980849,0.0,9.184766808967267e-16,0.4166662538881917,-8.150319210522975,0.7838950071122365,0.6666666666666666,15,81,Trustful
