User_ID,Experiment_number,Round_number,S,T,Game,Action,Opponent_ID,Opponent_Action
66,5,7,2,11,Prisoner's Dilemma,C,830,D
66,5,8,10,11,Snow Drift,C,838,D
66,5,9,1,13,Prisoner's Dilemma,D,844,C
66,5,10,8,10,border Harmony/Snow Drift,C,855,D
66,5,11,6,6,Harmony,D,866,C
66,5,12,4,14,Prisoner's Dilemma,C,868,C
66,5,13,2,9,Stag-Hunt,,877,D
66,5,14,0,8,Stag-Hunt,C,888,C
67,5,1,8,9,Harmony,D,771,D
67,5,2,5,14,border Snow Drift/Prisoner's Dilemma,C,778,D
67,5,3,8,12,Snow Drift,C,790,D
67,5,4,7,9,Harmony,C,799,D
67,5,5,2,7,Stag-Hunt,C,810,D
67,5,6,7,15,Snow Drift,C,Dummy,C
67,5,7,9,15,Snow Drift,C,828,C
67,5,8,1,14,Prisoner's Dilemma,C,832,D
67,5,9,0,12,Prisoner's Dilemma,C,847,C
67,5,10,6,11,Snow Drift,C,853,C
67,5,11,6,11,Snow Drift,C,863,C
67,5,12,1,10,border Stag-Hunt/Prisoner's Dilemma,C,875,D
67,5,13,0,6,Stag-Hunt,C,881,C
67,5,14,1,10,border Stag-Hunt/Prisoner's Dilemma,C,886,D
68,5,1,3,9,Stag-Hunt,C,774,D
68,5,2,9,10,border Harmony/Snow Drift,C,784,C
